"Company","Country","Month","Year","Classification","Keywords","Website","Funding Amount","Funding Type","Investors"
"VelosBio","USA","Jul","2020","Early Stage Biotech","Oncology, cancer,ROR1-Directed Therapeutics","https://velosbio.com/","$137 Million ","Series B","Matrix Capital Management and Surveyor Capital (a Citadel company) are joined by Adage Capital Management LP, Cormorant Asset Management, Farallon, Foresite Capital, Janus Henderson Investors, Logos Capital, OrbiMed, Venrock Healthcare Capital Partners, Viking Global Investors, Wellington Management Company"
"Preventice Solutions","USA","Jul","2020","Digital Health","remote cardiac monitoring, deep learning and artificial intelligence (AI)","https://www.preventicesolutions.com/","$137 Million","Series B","Vivo Capital, Novo Holdings A/S, Merck Global Health Innovation Fund, Boston Scientific and Samsung Catalyst Fund"
"Encoded Therapeutics","USA","Jul","2020","Genomics/Gene Therapy","SCN1A+ Dravet Syndrome, ETX101, Gene Therapies for Debilitating Neurological Disorders","https://encoded.com/","$135 Million","Series D","GV (formerly Google Ventures), Matrix Capital Management, ARCH Venture Partners, Illumina Ventures, RTW Investments, Boxer Capital, Nolan Capital, HBM Genomics, Menlo Ventures, Meritech Capital, Farallon Capital Management, SoftBank Vision Fund 2"
"BELKIN Laser","Israel","Jul","2020","Medical Devices","non-invasive glaucoma laser treatment","https://belkin-laser.com/","$12.25 Million","Series B","Rimonci Capital and Santen Ventures, Inc., BioLight Life Sciences, CR-CP Life Science Fund, C-Mer Eye Care Holdings"
"Imvax Inc.","USA","Jul","2020","Early Stage Biotech","IGV-001, oncology, Glioblastoma multiforme, solid tumors","https://imvax.com/","$112 Million","Series C","HP WILD Holding AG, Ziff Capital Partners, Magnetar Capital, and TLP Investment Partners, Invus"
"
Harbour BioMed ","China","Jul","2020","Early Stage Biotech","Oncology, Immuno-Oncology, COVID-19","http://www.harbourbiomed.com/en/aboutus.html","$102.8 Million","Series C"," Hudson Bay Capital, OrbiMed, Country Garden VC, GTJA Investment Group, Octagon Capital, Sage Partners, Greater Bay Area Investment Fund."
"CurvaFix","USA","Jul","2020","Medical Devices","Fractures in curved bones","https://curvafix.com/","$10.75 Million","Series B","Sectoral Asset Management, Delta Dental Washington Seed Fund"
"Gain Therapeutics, Inc.","Switzerland","Jul","2020","Early Stage Biotech","rare genetic and neurogenerative diseases, computational SEE-Tx™ platform","https://www.gaintherapeutics.com/","$10 Million","Series B","TiVenture, 3B Future Health Fund (previously known as Helsinn Investment Fund) and VitaTech"
"ABM Respiratory Care (ABM)","Singapore","Jul","2020","Medical Devices"," Telehealth Ventilators , Respiratory Care Devices, BiWaze™ Cough, portable ventilator remotely controls","https://www.abmrespiratorycare.com/","$10 Million","Series A","Advanced MedTech Holdings, SEEDS Capital"
"Transformative ","USA","Jul","2020","Digital Health","cardiac arrest software, AI,  predictive patient monitoring software","http://transformative.ai/","$1.7 Million","Seed"," Wellcome Trust,  InHealth Ventures, Tera Ventures, AI Seed"
"Plex Pharmaceuticals","USA","Jul","2020","Early Stage Biotech","cataracts, eye drop therapy, topical eye drop formulation, CAP4196, CAP4349","https://www.plexpharma.com/","$1.6 Million","Grant Funding","National Institutes of Health (NIH)"
"MicuRx Pharmaceuticals Inc.","USA","Aug ","2020","Early Stage Biotech","MRX-8, multidrug-resistant (MDR) Gram-negative pathogens, carbapenem-resistant Enterobacteriaceae, Pseudomonas aeruginosa, and Acinetobacter baumannii","http://www.micurxchina.com/","$7.78 Million","Series D","CARB-X"
"MicuRx Pharmaceuticals Inc.","USA","Aug ","2020","Early Stage Biotech","MRX-8, multidrug-resistant (MDR) Gram-negative pathogens, carbapenem-resistant Enterobacteriaceae, Pseudomonas aeruginosa, and Acinetobacter baumannii","http://www.micurxchina.com/","$43 Million","Series D","Huagai Capital, Sinopharm-CICC , Zero2IPO Asset Management"
"Micronoma","USA","Aug ","2020","Medical Diagnostics","Microbial biomarkers, cancer detection, liquid biopsy","https://micronoma.com/","$3 Million","Seed","SymBiosis, LLC"
"E25Bio","USA","Aug ","2020","Medical Diagnostics","Virus detection","https://e25bio.com/","$4.14 Million","Grant Funding","Bill & Melinda Gates Foundation"
"Vision Medicals","China","Aug ","2020","Medical Diagnostics","infectious disease diagnostics, COVID-19, SARS-CoV-2 Clinical Sequencing assay, NGS","http://www.visionmedicals.com/","$29 Million","Series B","Cash Capital,  CDH Investments, Volcanics Venture, CICC Qichen"
"Mission Bio","USA","Aug ","2020","Early Stage Biotech","Tapestri Platform, cancer cell mutatioin, single-cell genomics ","https://missionbio.com/","$70 Million","Series C","Novo Holdings, Soleus Capital, Mayfield, Cota,Agilent"
"Aerovate Therapeutics","USA","Aug ","2020","Early Stage Biotech","PAH, AV-101,imatinib","","$72.6 Million","Series A","Sofinnova, Atlas Venture, Cormorant Asset Management, Surveyor Capital and Osage University Partners."
"T-knife GmbH","Germany","Aug","2020","Early Stage Biotech","humanized T-cell receptor (HuTCR) mouse platform, solid tumors ","https://t-knife.com/","€66 Million","Series A","Versant Ventures and RA Capital Management, Andera Partners and BIVF"
"InnovHeart S.r.l.","Italy","Aug","2020","Medical Devices","Transcatheter Mitral Valve Replacement, Saturn TMVR system","www.innovheart.com","€20 Million","Series B","Genextra, Panakes Partners, with CDP Venture Capital and Indaco Venture Partners"
"Taysha Gene Therapies","USA","Aug","2020","Genomics/Gene Therapy","CNS gene therapies , genetic epilepsy, Neurodevelopmental, TSHA-101, GM2 gangliosidosis","https://tayshagtx.com/","$95 Million","Series B","Fidelity, BlackRock, GV, Invus, Perceptive Advisors and Venrock Healthcare Capital Partners"
"Conformal Medical, Inc.","USA","Aug","2020","Medical Devices","CLAAS® Stroke Prevention Technology, stroke, atrial fibrillation (AFib)","https://conformalmedical.com/","$85 Million","Series C","Fidelity Management & Research Company LLC, Catalyst Health Ventures (CHV)"
"NuraBio","USA","Aug","2020","Early Stage Biotech","axonal degeneration, neuroinflammation, early hallmarks of several acute and chronic neurological diseases, Neuroprotective Drugs","https://nurabio.com/","$73 Million","Series A","The Column Group with Samsara BioCapital and Euclidean Capital"
"Sight Diagnostics","Israel","Aug","2020","Medical Diagnostics","COVID-19, Sight OLO blood analyzer, blood droplets","https://www.sightdx.com/us","$71 Million","Series D","Koch Disruptive Technologies, Longliv Ventures, and OurCrowd"
"F2G Ltd.","UK","Aug","2020","Early Stage Biotech","Antifungal agent Olorofim,   rare fungal infections, invasive aspergillosis (including azole-resistant strains), scedosporiosis, lomentosporiosis, fusariosis, scopulariopsosis and coccidioidomycosis,  Valley Fever","https://www.f2g.com/","$60.8 Million","Series B","Cowen Healthcare Investments, Novo Holdings, Morningside Ventures, Brace Pharma Capital and Advent Life Sciences"
"Fractyl","USA","Aug","2020","Early Stage Biotech","Revita® DMR, Type 2 Diabetes","https://www.fractyl.com/","$55 Million","Series E","Taiwania Capital Management Corporation, Bessemer Venture Partners, General Catalyst, Domain Associates, Mithril Capital Management, Emergent Medical Partners, True Ventures, and GV. New investors, Catalio Capital Management, CDIB Venture Capital Corp., and YJ Capital"
"Altis Biosystems","USA","Aug","2020","BioSystems","RepliGut, human stem cell-derived platform, preclinical studies for compound screening, investigating the effects of diseases, and microbiome research ","https://altisbiosystems.com/","$3.1 Million","Seed","VentureSouth"
"Scioto Biosciences","USA","Aug","2020","Early Stage Biotech","ABT (Activated Bacterial Therapeutics) Platform, Autism Spectrum Disorder (ASD) , gut-injury such as Necrotizing Enterocolitis (NEC) ","https://sciotobiosciences.com/","$26.5 Million","Series B","Genome & Co"
"AnHeart Therapeutics, Co., Ltd.","China","Aug","2020","Early Stage Biotech","Taletrectinib , oncology, NSCLC, ROS1, NTRK mutations","https://anhearttherapeutics.com/en/home/","$20 Million","Series A+","Decheng Capital"
"GentiBio","USA","Aug","2020","Early Stage Biotech","T-cell therapeutics, Engineered regulatory T-cells (EngTregs) ,autoimmune, alloimmune, autoinflammatory and allergic diseases","https://www.gentibio.com/","$20 Million","Seed","OrbiMed, Novartis Venture Fund,  RA Capital Management"
"Tangen Biosciences ","USA","Aug","2020","Medical Diagnostics","COVID-19,  SARS-CoV-2, influenza A/B, respiratory syncytial virus, GeneSpark nucleic acid amplification system","https://tangenbioscience.com/","$12.2 Million","Series B","Connecticut Innovations, VC23, Leading Edge Ventures, and Parvizi Surgical"
"Dyne Therapeutics","USA","Aug","2020","Early Stage Biotech","FORCE platform,  muscle disease therapies, myotonic dystrophy type 1 (DM1), Duchenne muscular dystrophy (DMD) and facioscapulohumeral muscular dystrophy (FSHD)","https://www.dyne-tx.com/","$115 Million","Series B","Vida Ventures and Surveyor Capital (a Citadel company), Wellington Management Company, Logos Capital, Franklin Templeton , Atlas Venture, Forbion and MPM Capital"
"Bryn Pharma (EpiNow, LLC.)","USA","Aug","2020","Early Stage Biotech","Bi-Dose Epinephrine Nasal Spray, anaphylaxis, BRYN-NDS1C","https://brynpharma.com/","$11 Million","Series D","Private (undisclosed)"
"Qualio","USA","Aug","2020","Digital Health","quality management software (eQMS) , cloud platform, FDA audits","https://www.qualio.com/","$11 Million","Series A","Storm Ventures , Sorenson Ventures, MHS Capital and Frontline Ventures"
"IgGenix ","USA","Aug","2020","Early Stage Biotech","food and non-food allergies, allergic conditions","https://iggenix.com/","$10 Million","Series A","Khosla Ventures, Parker Ventures"
"Cancer Targeted Technology (CTT)","USA","Aug","2020","Early Stage Biotech","Prostate Specific Membrane Antigen (PSMA) , Prostate cancer, CTT1403","https://www.cancertargetedtechnology.com/","$1.44 Million","Seed","National Institutes of Health (NIH)"
"Avatamed","Singapore","Aug","2020","Medical Diagnostics","precision medicine, next-generation sequencing,  genomic analysis, immune profiling, and patient-derived cells and tissues for targeted cancer drug screening","https://www.avatamed.com/","$1 Million","Seed","Future Leading Bio Funds"
"Thirty Madison","USA","Aug","2020","Digital Health","hair loss (Keeps), migraine (Cove), and acid reflux (Evens), telemedicine and treatment delivery","https://thirtymadison.com/","$47 Million","Series B","Polaris Partners. New investor Johnson & Johnson Innovation – JJDC, Inc., Maveron, Northzone"
"GI Windows Medical Corp","USA","Aug","2020","Medical Devices","obesity, type-2 diabetes, surgical anastomotic technology","https://www.giwindows.com/","$16.4 Million","Series A-1","Johnson & Johnson Innovation – JJDC, Inc.,  Sonder Capital, GT Healthcare, JC Investco, the Kennedy Trust and Coleman Trust"
"Castor","USA","Aug","2020","Digital Health","COVID-19, clinical trial technology, clinical data platform","https://www.castoredc.com/","$12 Million","Series A","Two Sigma Ventures with participation from Hambrecht Ducera Growth Ventures and existing investor INKEF Capital"
"Biofidelity","USA","Aug","2020","Medical Diagnostics","precision cancer diagnostics, panels for non-small cell lung and colorectal cancer, detection of resistance to therapy and disease recurrence","https://biofidelity.com/","$12 Million","Series A","BlueYard Capital, Longwall Ventures and Agilent Technologies"
"OncoNano ","USA","Aug","2020","Medical Imaging","proprietary pH-activated micelles, solid tumors, biomarkers, Warburg Effect, dissolve releasing payloads, ONM-100","https://www.onconano.com/","$9.97 Million","Grant Funding","Cancer Prevention and Research Institute of Texas"
"Garwood Medical Devices","USA","Aug","2020","Medical Devices","BioPrax™ device, knee PJI treatment, implant infection control, bio-film infections","https://garwoodmedicaldevices.com/","$4 Million","Series C","The Murray Family, WNY Impact Investment Fund "
"Trellus Health","USA","Aug","2020","Digital Health","","","$5 Million","Seed","Mount Sinai Health System (MSHS) and EKF Diagnostics,"
"GID Bio","USA","Aug","2020","Misc","","","$250,000 ","Grant Funding","Richard King Mellon Foundation"
"RNAimmune","USA","Aug","2020","Early Stage Biotech","","","$2.35 Million","Seed","Terra Magnum Capital Partners"
"MOBILion Systems, Inc","USA","Aug","2020","BioSystems","","","$35 Million","Series B","Amoon, Agilent Technologies (NYSE: A), IP Group, Hostplus and Cultivation Capital"
"Aerin Medical","USA","Aug","2020","Medical Devices","","","$48 Million","Series A","Questa Capital, OrbiMed, KCK Group "
"ImmPACT Bio USA Inc.","USA","Aug","2020","Early Stage Biotech","","","$18 Million","Series A","OrbiMed, Johnson & Johnson Innovation – JJDC, Inc., Takeda Ventures, Inc., RM Global Partners (RMGP) BioPharma Investment Fund, Novartis Venture Fund, Bukwang Pharmaceutical, Hayan Health Networks, Inc., and JVC Investment Partners."
"AgilVax, Inc.","USA","Aug","2020","Early Stage Biotech","","","$1.2 Million","Grant Funding","SBIR National Cancer Institute (NCI)"
"Vasomune Therapeutics","USA","Aug","2020","Early Stage Biotech","","","$2.8 Million","Grant Funding","US Department of Defense (DoD)"
"Tango Therapeutics","USA","Aug","2020","Early Stage Biotech","","","$50 Million","Series B","Casdin Capital ,Boxer Capital of the Tavistock Group, Cormorant Asset Management, Gilead Sciences"
"Science 37 ","USA","Aug","2020","Healthcare Analytics","","","$40 Million","Series D","Lux Capital and Redmile Group ,LifeSci Ventures and Mubadala Ventures"
"Reify Health","USA","Aug","2020","Healthcare Analytics","","","$30 Million","Series B","Battery Ventures ,Sierra Ventures and Asset Management Ventures"
"Prelude Therapeutics","USA","Aug","2020","Early Stage Biotech","","","$50 Million","Series C","OrbiMed Advisors LLC, Fidelity Management & Research Company LLC"
"One Drop ","USA","Aug","2020","Digital Health","","","$34.7 Million","Series C","Bayer"
"Exo","USA","Aug","2020","Medical Imaging","","","$40 Million","Series B+","Fiscus Ventures and Reimagined Ventures (Magnetar Capital affiliates) and Action Potential Venture Capital, TDK Ventures, Solasta Ventures , Intel Capital, Applied Ventures, Bold Capital, Creative Ventures, Longevity Vision Fund, Fiscus and Reimagined Ventures, Nautilus Venture Partners, OSF Healthcare, Rising Tide Fund, Innovation Growth Ventures, and Wanxiang Healthcare Investments"
"Fibronostics","USA","Aug","2020","Medical Diagnostics","","","$8 Million","Series A","AT Capital,  Elev8.vc"
"Vessi Medical","Israel","Aug","2020","Medical Devices","","","$1.7 Million","Series A","Agriline, the Trendlines Group, the Israel Innovation Authority and ExitValley investors "
"NeuroPace, Inc.","USA","Aug","2020","Medical Devices","","","$67 Million","Series B","Accelmed Partners , Revelation Partners, Soleus Capital, KCK Group and OrbiMed Advisors"
"Pyramid Biosciences","USA","Aug","2020","Early Stage Biotech","","","$28 Million","Series A","Adage Capital Management, Averill Master Fund, Ltd., J.W. Childs Associates L.P. "
"Erasca","USA","Aug","2020","Early Stage Biotech","","","$36 Million","Series B","Partner Fund Management and OrbiMed"
"Kerecis Limited","USA","Aug","2020","Medical Devices","","","$21 Million","Series C","Silcon Valley Bank"
"Freenome","USA","Aug","2020","Medical Diagnostics","","","$270 Million","Series C","Bain Capital Life Sciences , Perceptive Advisors, Fidelity Management & Research Company, Janus Henderson Investors, Farallon Capital Management, Rock Springs Capital, Cormorant Asset Management, EcoR1 Capital, Catalio Capital Management and the Colorectal Cancer Alliance."
"Clene Nanomedicine","USA","Aug","2020","Nanotechnology","","","$42.5 Million ","Series D","SymBiosis II, LLC"
"Phosplatin Therapeutics LLC","USA","Aug","2020","Early Stage Biotech","","","$18.4 Million","Series A","Undisclosed Family Offices"
"PMV Pharmaceuticals, Inc.","USA","Aug","2020","Early Stage Biotech","","","$70 Million","Series D","Avoro Capital, RA Capital Management, and Wellington Management Company OrbiMed Advisors, Nextech Invest, Viking Global Investors, and Boxer Capital of Tavistock Group"
"iVeena","USA","Aug","2020","Early Stage Biotech","","","NA","Series B","Undisclosed"
"DiscGenics","USA","Aug","2020","Early Stage Biotech","","","$50 Million","Series C","Ci:z Investment LLP , Eagle Fund SP1 LLP, Medical Incubator Japan (MIJ), and CareNet of Japan, Mitsubishi UFJ Capital Co. Ltd, "
"PatientPop","USA","Aug","2020","Digital Health","","","$50 Million","Series C","HLM Venture Partners, Commonfund and Vivo Capital, Toba Capital, Transformation Capital, and Silicon Valley Bank."
"Connect Biopharma","China","Aug","2020","Early Stage Biotech","","","$115 Million","Series C","RA Capital Management as well as Lilly Asia Ventures and Qiming Venture Partners"
"ReViral","USA","Aug","2020","Early Stage Biotech","","","$44 Million","Series C","CR-CP Life Science Fund. Additional investors participating in the financing include Andera Partners, Brace Pharma Capital, Green Sands Equity, New Leaf Venture Partners, Novo Holdings, OrbiMed Advisors, and Perceptive Advisors."
"Triumvira Immunologics","USA","Aug","2020","Early Stage Biotech","","","$55 Million","Series A","Bayer AG,  Northpond Ventures.  Oceanpine Capital and Viva Biotech Holdings, Bloom Burton & Co. and the Centre for Commercialization of Cancer Immunotherapy (C3i)."
"ACTO","USA","Aug","2020","Healthcare Analytics","","","$11.5 Million","Series A","Resolve Growth Partners, Salesforce Ventures,  Panache Ventures."
"ExoCoBio Inc.","South Korea","Aug","2020","Early Stage Biotech","","","$9.3 Million","Series C","K2 Investment Partners, SBI Investment Korea, and Dt & Investment , G.N.Tech/ReeHu Investment and Focus Assets Management. KNOTUS, "
"Translational Imaging Innovations, Inc.","USA","Aug","2020","Medical Imaging","","","$1.5 Million","Grant Funding","SBIR National Institutes of Healtj (NIH)"
"Kinnate Biopharma","USA","Aug","2020","Early Stage Biotech","","","$98 Million","Series C","RA Capital Management , Viking Global Investors; Venrock Healthcare Capital Partners; Fidelity Management & Research Company, LLC; Janus Henderson Investors; Surveyor Capital (a Citadel company); Boxer Capital of Tavistock Group; Logos Capital; SVB Leerink.  Foresite Capital, OrbiMed, Nextech Invest, and Vida Ventures"
"Synthego","USA","Aug","2020","Genomics/Gene Therapy","","","$100 Million","Series D"," Wellington Management,  RA Capital Management, 8VC,  Founders Fund, Menlo Ventures, and Intel Capital. "
"LUCA Science","Japan","Sep ","2020","Early Stage Biotech","","","$9.8 Million","Series A","Axil Capital Partners. Remiges Ventures, Nippon Venture Capital, Fast Track Initiative and CaHC"
"Lumen Biosciences","USA","Sep ","2020","Early Stage Biotech","","","$16 Million","Series B","WestRiver Management ,Bioeconomy Capital,  Avista Development, Columbia Pacific"
"PicnicHealth","USA","Sep","2020","Digital Health","","","$35 Million","Series B","Felicis Ventures, Amplify Partners"
"Stella Diagnostics","USA","Sep","2020","Medical Diagnostics","","","NA","Seed","Keystone Capital Partners"
"Biofourmis","USA","Sep","2020","Healthcare Analytics","","","$100 Million","Series C","SoftBank Vision Fund 2,Openspace Ventures, MassMutual Ventures, Sequoia Capital and EDBI."
"Picnic Health","USA","Sep","2020","Digital Health","Patient Health data platform","https://picnichealth.com/","$35 Million","Series B","Felicis Ventures, Amplify Partners"
